,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__activation,param_classifier__alpha,param_classifier__hidden_layer_sizes,param_classifier__solver,param_pca__n_components,param_classifier__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10745120048522949,0.06847459976420392,0.00514373779296875,0.006538007569442092,relu,0.0001,4,lbfgs,4,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 4, 'classifier__solver': 'lbfgs', 'pca__n_components': 4}",0.7664021164021164,0.814760686883449,1.0,0.9422619047619047,0.7714285714285716,0.8572413270716558,0.09444342955450623,757
1,0.0977867603302002,0.03932450112670979,0.005635833740234375,0.003900450238780382,relu,0.0001,4,lbfgs,5,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 4, 'classifier__solver': 'lbfgs', 'pca__n_components': 5}",0.8115873015873016,0.834733893557423,0.9404761904761905,0.7978260869565217,0.6851851851851851,0.81572758336279,0.07934120930408017,1224
2,0.04184689521789551,0.019770442866285817,0.002414369583129883,0.003897218896649025,relu,0.0001,4,lbfgs,6,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 4, 'classifier__solver': 'lbfgs', 'pca__n_components': 6}",0.7664021164021164,0.8136402387041772,0.9422619047619047,0.8229949874686717,0.8002923976608188,0.8277514438269586,0.05973587845412057,1107
3,0.08769922256469727,0.059462561564188283,0.004833364486694336,0.007697549496550137,relu,0.0001,4,lbfgs,7,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 4, 'classifier__solver': 'lbfgs', 'pca__n_components': 7}",0.5917874396135265,0.834733893557423,0.9404761904761905,0.7607142857142857,0.6245614035087718,0.7491477899414495,0.1302398201966553,1654
4,0.04749131202697754,0.022898559393577426,0.0028223514556884764,0.0037330091537838552,relu,0.0001,4,lbfgs,8,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 4, 'classifier__solver': 'lbfgs', 'pca__n_components': 8}",0.7075702075702075,0.873249299719888,0.7571428571428571,0.8794642857142857,0.7365079365079368,0.7904248190833556,0.0722768281605808,1413
5,0.02899136543273926,0.012253795698397997,0.008848905563354492,0.0009917754726648186,relu,0.0001,4,lbfgs,9,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 4, 'classifier__solver': 'lbfgs', 'pca__n_components': 9}",0.8192592592592592,0.7647058823529411,0.7571428571428571,0.8794642857142857,0.8002923976608188,0.8041069136255273,0.04374149979725416,1309
6,0.03983683586120605,0.015872745957886954,0.0052260875701904295,0.003498935819682674,relu,0.0001,4,lbfgs,10,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 4, 'classifier__solver': 'lbfgs', 'pca__n_components': 10}",0.7075702075702075,0.834733893557423,0.8195723684210526,0.8142857142857143,0.8002923976608188,0.7935714050604937,0.04689055298060949,1391
7,0.05875520706176758,0.04298881356244992,0.005220794677734375,0.0043262313460127304,relu,0.0001,4,lbfgs,11,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 4, 'classifier__solver': 'lbfgs', 'pca__n_components': 11}",0.49896480331262943,0.7738562091503267,0.7915760869565217,0.8229949874686717,0.9363408521303259,0.756282585218791,0.14710737701938664,1621
8,0.1367722988128662,0.0645545005409137,0.00362091064453125,0.003684036880454907,relu,0.0001,5,lbfgs,4,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 5, 'classifier__solver': 'lbfgs', 'pca__n_components': 4}",0.6992063492063493,0.8840336134453781,1.0,0.9422619047619047,0.6222222222222222,0.8295586527293843,0.14267313926503492,1087
9,0.026544570922851562,0.004481096715445695,0.007640457153320313,0.002952194453394824,relu,0.0001,5,lbfgs,5,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 5, 'classifier__solver': 'lbfgs', 'pca__n_components': 5}",0.9400966183574879,0.8272445820433437,0.884375,0.8125,0.7365079365079368,0.8436892203998863,0.06863327922626711,945
10,0.10705180168151855,0.1274610570570509,0.009662961959838868,0.005152550943891198,relu,0.0001,5,lbfgs,6,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 5, 'classifier__solver': 'lbfgs', 'pca__n_components': 6}",0.7075702075702075,0.7865546218487394,0.875,0.9404761904761905,0.8603174603174604,0.8300008934155276,0.0814021583038762,1080
11,0.033008670806884764,0.014153435503607415,0.0020103931427001955,0.004020786285400391,relu,0.0001,5,lbfgs,7,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 5, 'classifier__solver': 'lbfgs', 'pca__n_components': 7}",0.8115873015873016,0.8840336134453781,0.9404761904761905,0.7607142857142857,0.6412280701754385,0.8106659942539275,0.10071058039081532,1253
12,0.05995173454284668,0.05560227826285146,0.0036199092864990234,0.0036808798194582644,relu,0.0001,5,lbfgs,8,,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': 5, 'classifier__solver': 'lbfgs', 'pca__n_components': 8}",0.7075702075702075,0.8856209150326797,0.8195723684210526,0.8895833333333334,0.7333333333333335,0.8065647624376765,0.07619532037964452,1284
